,filename,typing_result,touch_location
0,abc-about-2-clicked_frames_crop/bbox-0428.jpg,typing,onKeyboard
1,abc-about-2-clicked_frames_crop/bbox-0446.jpg,typing,onKeyboard
2,abc-about-2-clicked_frames_crop/bbox-0467.jpg,typing,onKeyboard
3,abc-about-2-clicked_frames_crop/bbox-0489.jpg,typing,onKeyboard
4,abc-about-2-clicked_frames_crop/bbox-0524.jpg,typing,onKeyboard
5,abc-about-2-clicked_frames_crop/bbox-0540.jpg,typing,onKeyboard
6,abc-about-2-clicked_frames_crop/bbox-0558.jpg,typing,onKeyboard
7,abc-about-2-clicked_frames_crop/bbox-0576.jpg,typing,onKeyboard
8,geek-about-1-clicked_frames_crop/bbox-0300.jpg,typing,onKeyboard
9,geek-about-1-clicked_frames_crop/bbox-0318.jpg,typing,onKeyboard
10,geek-about-1-clicked_frames_crop/bbox-0334.jpg,typing,onKeyboard
11,geek-about-1-clicked_frames_crop/bbox-0363.jpg,typing,onKeyboard
12,geek-about-1-clicked_frames_crop/bbox-0421.jpg,typing,onKeyboard
13,geek-about-1-clicked_frames_crop/bbox-0436.jpg,typing,onKeyboard
14,geek-about-1-clicked_frames_crop/bbox-0449.jpg,typing,onKeyboard
15,geek-about-1-clicked_frames_crop/bbox-0468.jpg,typing,onKeyboard
16,geek-about-1-clicked_frames_crop/bbox-0488.jpg,typing,onKeyboard
17,geek-about-1-clicked_frames_crop/bbox-0514.jpg,typing,onKeyboard
18,geek-about-1-clicked_frames_crop/bbox-0543.jpg,typing,onKeyboard
19,geek-about-1-clicked_frames_crop/bbox-0563.jpg,typing,onKeyboard
20,geek-about-1-clicked_frames_crop/bbox-0575.jpg,typing,onKeyboard
21,geek-about-1-clicked_frames_crop/bbox-0598.jpg,typing,onKeyboard
22,geek-about-1-clicked_frames_crop/bbox-0620.jpg,typing,onKeyboard
23,geek-about-1-clicked_frames_crop/bbox-0637.jpg,typing,onKeyboard
24,geek-about-1-clicked_frames_crop/bbox-0670.jpg,typing,onKeyboard
25,geek-about-1-clicked_frames_crop/bbox-0694.jpg,typing,onKeyboard
26,geek-about-1-clicked_frames_crop/bbox-0709.jpg,typing,onKeyboard
27,geek-about-1-clicked_frames_crop/bbox-0725.jpg,typing,onKeyboard
28,geek-about-1-clicked_frames_crop/bbox-0749.jpg,typing,onKeyboard
29,geek-about-1-clicked_frames_crop/bbox-0765.jpg,typing,onKeyboard
30,geek-about-1-clicked_frames_crop/bbox-0787.jpg,typing,onKeyboard
31,geek-about-1-clicked_frames_crop/bbox-0815.jpg,typing,onKeyboard
32,geek-about-1-clicked_frames_crop/bbox-0830.jpg,typing,onKeyboard
33,geek-about-1-clicked_frames_crop/bbox-0850.jpg,typing,onKeyboard
34,geek-about-1-clicked_frames_crop/bbox-0874.jpg,typing,onKeyboard
35,geek-about-1-clicked_frames_crop/bbox-0899.jpg,typing,onKeyboard
36,geek-about-1-clicked_frames_crop/bbox-0916.jpg,typing,onKeyboard
37,geek-about-1-clicked_frames_crop/bbox-0950.jpg,typing,out
38,geek-about-1-clicked_frames_crop/bbox-1013.jpg,typing,onKeyboard
39,geek-about-1-clicked_frames_crop/bbox-1043.jpg,typing,onKeyboard
40,geek-about-1-clicked_frames_crop/bbox-1056.jpg,typing,onKeyboard
41,geek-about-1-clicked_frames_crop/bbox-1079.jpg,typing,onKeyboard
42,geek-about-1-clicked_frames_crop/bbox-1095.jpg,typing,onKeyboard
43,geek-about-1-clicked_frames_crop/bbox-1111.jpg,typing,onKeyboard
44,geek-about-1-clicked_frames_crop/bbox-1128.jpg,typing,onKeyboard
45,geek-about-1-clicked_frames_crop/bbox-1146.jpg,typing,onKeyboard
46,geek-about-1-clicked_frames_crop/bbox-1160.jpg,typing,onKeyboard
47,geek-about-1-clicked_frames_crop/bbox-1231.jpg,typing,onKeyboard
48,geek-about-1-clicked_frames_crop/bbox-1251.jpg,typing,onKeyboard
49,geek-about-1-clicked_frames_crop/bbox-1266.jpg,typing,onKeyboard
50,geek-about-1-clicked_frames_crop/bbox-1284.jpg,typing,onKeyboard
51,geek-about-1-clicked_frames_crop/bbox-1308.jpg,typing,onKeyboard
52,geek-about-1-clicked_frames_crop/bbox-1344.jpg,typing,onKeyboard
53,geek-about-1-clicked_frames_crop/bbox-1362.jpg,typing,onKeyboard
54,geek-about-1-clicked_frames_crop/bbox-1381.jpg,typing,onKeyboard
55,geek-about-1-clicked_frames_crop/bbox-1399.jpg,typing,onKeyboard
56,geek-about-1-clicked_frames_crop/bbox-1439.jpg,typing,out
57,groupon-about-1-clicked_frames_crop/bbox-0361.jpg,typing,onKeyboard
58,groupon-about-1-clicked_frames_crop/bbox-0383.jpg,typing,onKeyboard
59,groupon-about-1-clicked_frames_crop/bbox-0404.jpg,typing,onKeyboard
60,groupon-about-1-clicked_frames_crop/bbox-0442.jpg,typing,onKeyboard
61,groupon-about-1-clicked_frames_crop/bbox-0467.jpg,typing,onKeyboard
62,groupon-about-1-clicked_frames_crop/bbox-0487.jpg,typing,onKeyboard
63,groupon-about-1-clicked_frames_crop/bbox-0508.jpg,typing,onKeyboard
64,groupon-about-1-clicked_frames_crop/bbox-0571.jpg,typing,onKeyboard
65,groupon-about-1-clicked_frames_crop/bbox-0596.jpg,typing,onKeyboard
66,groupon-about-1-clicked_frames_crop/bbox-0621.jpg,typing,onKeyboard
67,groupon-about-1-clicked_frames_crop/bbox-0649.jpg,typing,onKeyboard
68,groupon-about-1-clicked_frames_crop/bbox-0670.jpg,typing,onKeyboard
69,groupon-about-1-clicked_frames_crop/bbox-0690.jpg,typing,onKeyboard
