,screen,tag_screen
0,http://45.33.96.10:9081/groupon-video-signin-2-2-bbox-0489-screen.jpg,account_guest
1,http://45.33.96.10:9081/groupon-video-signin-2-1-bbox-0255-screen.jpg,signin_or_signup
2,http://45.33.96.10:9081/6pm-video-signin-4-bbox-2146-screen.jpg,pwd_assistant
3,http://45.33.96.10:9081/aliexpress-signin-bbox-2184-screen.jpg,signin_or_signup
4,http://45.33.96.10:9081/buzzfeed-signin-2-bbox-0402-screen.jpg,signin_or_signup
5,http://45.33.96.10:9081/buzzfeed-signin-1-bbox-0311-screen.jpg,signin_or_signup
6,http://45.33.96.10:9081/etsy-signin-2-bbox-0106-screen.jpg,signin_or_signup
7,http://45.33.96.10:9081/etsy-signin-1-bbox-0157-screen.jpg,signin_or_signup
8,http://45.33.96.10:9081/home-video-signin-3-2-bbox-1070-screen.jpg,sign_in
9,http://45.33.96.10:9081/buzzfeed-signin-1-bbox-0793-screen.jpg,username
10,http://45.33.96.10:9081/zappos-signin-1-bbox-1140-screen.jpg,sign_in
11,http://45.33.96.10:9081/6pm-video-signin-4-bbox-0683-screen.jpg,pwd_assistant
12,http://45.33.96.10:9081/6pm-video-signin-4-bbox-0058-screen.jpg,home
13,http://45.33.96.10:9081/aliexpress-video-signin-1-1-bbox-2368-screen.jpg,sign_in
14,http://45.33.96.10:9081/zappos-signin-2-bbox-2108-screen.jpg,sign_in
15,http://45.33.96.10:9081/groupon-video-signin-2-1-bbox-0098-screen.jpg,popup
16,http://45.33.96.10:9081/wish-video-signin-3-bbox-0113-screen.jpg,signin_google_popup
17,http://45.33.96.10:9081/buzzfeed-signin-1-bbox-0466-screen.jpg,signin_google_popup
18,http://45.33.96.10:9081/wish-video-signin-3-bbox-4255-screen.jpg,sign_in
19,http://45.33.96.10:9081/wish-video-signin-2-bbox-0583-screen.jpg,sign_in
20,http://45.33.96.10:9081/groupon-video-signin-2-2-bbox-0214-screen.jpg,signin_or_signup
21,http://45.33.96.10:9081/wish-video-signin-2-bbox-0190-screen.jpg,sign_in
22,http://45.33.96.10:9081/zappos-signin-2-bbox-0229-screen.jpg,signin_or_signup
