AUT,usage,test_id,human_video_id,human_states,generated_states,human_transitions,generated_transitions,state_coverage,transition_coverage,state_recall,transition_recall,effort,reduction,core_flag
abc,11-Help,0,0,"['get_started', 'popup', 'menu', 'menu', 'menu', 'setting']","['get_started', 'popup', 'popup', 'menu', 'menu', 'menu', 'setting']","['continue', 'continue', 'up', 'menu_settings', 'help']","['continue', 'continue', 'deny', 'up', 'menu_settings', 'help']",1.0,1.0,1.0,0.8,1.0,0.8,
abc,11-Help,0,1,"['get_started', 'popup', 'popup', 'menu']","['get_started', 'popup', 'popup', 'menu', 'menu', 'menu', 'setting']","['continue', 'continue', 'apply', 'menu_settings']","['continue', 'continue', 'deny', 'up', 'menu_settings', 'help']",1.0,0.6666666666666666,0.75,0.4,3.0,0.25,
abc,11-Help,1,0,"['get_started', 'popup', 'menu', 'menu', 'menu', 'setting']","['get_started', 'popup', 'popup', 'menu', 'menu', 'menu', 'setting']","['continue', 'continue', 'up', 'menu_settings', 'help']","['continue', 'continue', 'apply', 'up', 'menu_settings', 'help']",1.0,1.0,1.0,0.8,1.0,0.8,
abc,11-Help,1,1,"['get_started', 'popup', 'popup', 'menu']","['get_started', 'popup', 'popup', 'menu', 'menu', 'menu', 'setting']","['continue', 'continue', 'apply', 'menu_settings']","['continue', 'continue', 'apply', 'up', 'menu_settings', 'help']",1.0,1.0,0.75,0.6,2.0,0.5,
usatoday,11-Help,0,0,"['get_started', 'get_started', 'home', 'bookmark', 'setting']","['get_started', 'get_started', 'get_started', 'home', 'setting']","['continue', 'continue', 'bookmark', 'menu_settings', 'help']","['continue', 'continue', 'continue', 'menu', 'help']",0.75,0.5,1.0,0.6666666666666666,2.0,0.6,
usatoday,11-Help,0,1,"['get_started', 'get_started', 'home', 'setting']","['get_started', 'get_started', 'get_started', 'home', 'setting']","['continue', 'continue', 'menu_settings', 'help']","['continue', 'continue', 'continue', 'menu', 'help']",1.0,0.6666666666666666,1.0,0.6666666666666666,2.0,0.5,
usatoday,11-Help,1,0,"['get_started', 'get_started', 'home', 'bookmark', 'setting']","['get_started', 'get_started', 'get_started', 'get_started', 'home', 'setting']","['continue', 'continue', 'bookmark', 'menu_settings', 'help']","['left', 'continue', 'menu', 'help']",0.75,0.5,1.0,0.5,3.0,0.4,
usatoday,11-Help,1,1,"['get_started', 'get_started', 'home', 'setting']","['get_started', 'get_started', 'get_started', 'get_started', 'home', 'setting']","['continue', 'continue', 'menu_settings', 'help']","['left', 'continue', 'menu', 'help']",1.0,0.6666666666666666,1.0,0.5,2.0,0.5,
ebay,11-Help,0,0,"['home', 'menu', 'menu']","['popup', 'home', 'menu', 'menu']","['menu', 'help']","['continue', 'menu', 'help']",1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,
ebay,11-Help,1,0,"['home', 'menu', 'menu']","['popup', 'home', 'menu', 'menu', 'setting']","['menu', 'help']","['continue', 'menu', 'menu_settings', 'help']",1.0,1.0,0.5,0.5,2.0,0.0,
