,filename,typing_result,touch_location
0,groupon-contact-1-clicked_frames_crop/bbox-0606.jpg,typing,onKeyboard
1,groupon-contact-1-clicked_frames_crop/bbox-0614.jpg,typing,onKeyboard
2,groupon-contact-1-clicked_frames_crop/bbox-0624.jpg,typing,onKeyboard
3,groupon-contact-1-clicked_frames_crop/bbox-0645.jpg,typing,onKeyboard
4,groupon-contact-1-clicked_frames_crop/bbox-0669.jpg,typing,onKeyboard
5,groupon-contact-1-clicked_frames_crop/bbox-0685.jpg,typing,onKeyboard
6,groupon-contact-1-clicked_frames_crop/bbox-0708.jpg,typing,onKeyboard
7,groupon-contact-1-clicked_frames_crop/bbox-0721.jpg,typing,onKeyboard
8,groupon-contact-1-clicked_frames_crop/bbox-0744.jpg,typing,onKeyboard
9,groupon-contact-1-clicked_frames_crop/bbox-0765.jpg,typing,onKeyboard
10,groupon-contact-1-clicked_frames_crop/bbox-0782.jpg,typing,onKeyboard
11,groupon-contact-1-clicked_frames_crop/bbox-0799.jpg,typing,onKeyboard
12,groupon-contact-1-clicked_frames_crop/bbox-0822.jpg,typing,onKeyboard
13,groupon-contact-1-clicked_frames_crop/bbox-0833.jpg,typing,onKeyboard
14,groupon-contact-1-clicked_frames_crop/bbox-0855.jpg,typing,onKeyboard
15,groupon-contact-1-clicked_frames_crop/bbox-0876.jpg,typing,onKeyboard
16,groupon-contact-1-clicked_frames_crop/bbox-0900.jpg,typing,onKeyboard
17,groupon-contact-1-clicked_frames_crop/bbox-0937.jpg,typing,onKeyboard
18,groupon-contact-1-clicked_frames_crop/bbox-0967.jpg,typing,onKeyboard
19,groupon-contact-1-clicked_frames_crop/bbox-0996.jpg,typing,onKeyboard
20,groupon-contact-1-clicked_frames_crop/bbox-1031.jpg,typing,onKeyboard
21,groupon-contact-1-clicked_frames_crop/bbox-1045.jpg,typing,onKeyboard
22,groupon-contact-1-clicked_frames_crop/bbox-1063.jpg,typing,onKeyboard
23,groupon-contact-1-clicked_frames_crop/bbox-1081.jpg,typing,onKeyboard
24,groupon-contact-1-clicked_frames_crop/bbox-1096.jpg,typing,onKeyboard
25,groupon-contact-1-clicked_frames_crop/bbox-1118.jpg,typing,onKeyboard
26,groupon-contact-1-clicked_frames_crop/bbox-1138.jpg,typing,onKeyboard
